Date / Time,CPU Usage %,Temperature C
2021-11-23 20:33:24.678007,11.4,51.1
2021-11-23 20:33:34.868989,1.7,50.1
2021-11-23 20:33:45.057304,1.8,50.1
2021-11-23 20:33:55.231182,1.7,50.1
2021-11-23 20:34:05.414810,1.2,50.6
2021-11-23 20:34:15.586798,0.8,50.6
2021-11-23 20:34:25.772655,1.7,50.1
2021-11-23 21:14:13.994921,18.7,51.6
2021-11-23 21:14:24.322319,0.6,51.6
2021-11-23 21:14:34.507574,1.7,51.1
2021-11-23 21:14:44.694574,1.8,50.6
2021-11-23 21:14:54.876377,1.7,50.6
2021-11-23 21:15:05.059913,1.2,51.6
2021-11-23 21:15:15.228722,0.8,50.1
2021-11-23 21:15:25.436718,1.7,50.1
2021-11-23 21:15:35.613462,1.7,50.6
2021-11-23 21:15:45.793802,1.8,50.1
2021-11-23 21:15:55.984018,0.9,50.1
2021-11-23 21:16:06.163109,1.2,51.1
2021-11-23 21:16:16.364485,1.7,50.1
2021-11-23 21:16:26.557647,1.8,50.1
2021-11-23 21:16:36.748490,1.7,50.1
2021-11-23 21:16:47.064005,0.8,50.1
2021-11-23 21:16:57.239776,1,50.6
2021-11-23 21:17:07.425295,2,49.1
2021-11-23 21:17:17.580304,1.7,49.6
2021-11-23 21:17:27.767939,1.8,50.1
2021-11-23 21:17:37.954024,0.7,50.6
2021-11-23 21:17:48.125546,1.2,49.6
2021-11-23 21:17:58.321709,1.7,49.6
2021-11-23 21:18:08.556446,2,49.1
2021-11-23 21:18:18.746887,1.7,51.1
2021-11-23 21:18:28.899999,0.5,49.6
